# SIRIUS SI MACHINE CONFIGURATION
# ==================================
#
# TIMESTAMP 2016-03-16 15:52:25  (by sirius-save-machine-configuration.py)

VA-SIPS-BEND-FAM                                   : 581.1916191191597
VA-SIPS-CH-01C1                                    : 0.0
VA-SIPS-CH-01C2                                    : 0.0
VA-SIPS-CH-01C3                                    : 0.0
VA-SIPS-CH-01C4                                    : 0.0
VA-SIPS-CH-01M1                                    : 0.0
VA-SIPS-CH-01M2                                    : 0.0
VA-SIPS-CH-02C1                                    : 0.0
VA-SIPS-CH-02C2                                    : 0.0
VA-SIPS-CH-02C3                                    : 0.0
VA-SIPS-CH-02C4                                    : 0.0
VA-SIPS-CH-02M1                                    : 0.0
VA-SIPS-CH-02M2                                    : 0.0
VA-SIPS-CH-03C1                                    : 0.0
VA-SIPS-CH-03C2                                    : 0.0
VA-SIPS-CH-03C3                                    : 0.0
VA-SIPS-CH-03C4                                    : 0.0
VA-SIPS-CH-03M1                                    : 0.0
VA-SIPS-CH-03M2                                    : 0.0
VA-SIPS-CH-04C1                                    : 0.0
VA-SIPS-CH-04C2                                    : 0.0
VA-SIPS-CH-04C3                                    : 0.0
VA-SIPS-CH-04C4                                    : 0.0
VA-SIPS-CH-04M1                                    : 0.0
VA-SIPS-CH-04M2                                    : 0.0
VA-SIPS-CH-05C1                                    : 0.0
VA-SIPS-CH-05C2                                    : 0.0
VA-SIPS-CH-05C3                                    : 0.0
VA-SIPS-CH-05C4                                    : 0.0
VA-SIPS-CH-05M1                                    : 0.0
VA-SIPS-CH-05M2                                    : 0.0
VA-SIPS-CH-06C1                                    : 0.0
VA-SIPS-CH-06C2                                    : 0.0
VA-SIPS-CH-06C3                                    : 0.0
VA-SIPS-CH-06C4                                    : 0.0
VA-SIPS-CH-06M1                                    : 0.0
VA-SIPS-CH-06M2                                    : 0.0
VA-SIPS-CH-07C1                                    : 0.0
VA-SIPS-CH-07C2                                    : 0.0
VA-SIPS-CH-07C3                                    : 0.0
VA-SIPS-CH-07C4                                    : 0.0
VA-SIPS-CH-07M1                                    : 0.0
VA-SIPS-CH-07M2                                    : 0.0
VA-SIPS-CH-08C1                                    : 0.0
VA-SIPS-CH-08C2                                    : 0.0
VA-SIPS-CH-08C3                                    : 0.0
VA-SIPS-CH-08C4                                    : 0.0
VA-SIPS-CH-08M1                                    : 0.0
VA-SIPS-CH-08M2                                    : 0.0
VA-SIPS-CH-09C1                                    : 0.0
VA-SIPS-CH-09C2                                    : 0.0
VA-SIPS-CH-09C3                                    : 0.0
VA-SIPS-CH-09C4                                    : 0.0
VA-SIPS-CH-09M1                                    : 0.0
VA-SIPS-CH-09M2                                    : 0.0
VA-SIPS-CH-10C1                                    : 0.0
VA-SIPS-CH-10C2                                    : 0.0
VA-SIPS-CH-10C3                                    : 0.0
VA-SIPS-CH-10C4                                    : 0.0
VA-SIPS-CH-10M1                                    : 0.0
VA-SIPS-CH-10M2                                    : 0.0
VA-SIPS-CH-11C1                                    : 0.0
VA-SIPS-CH-11C2                                    : 0.0
VA-SIPS-CH-11C3                                    : 0.0
VA-SIPS-CH-11C4                                    : 0.0
VA-SIPS-CH-11M1                                    : 0.0
VA-SIPS-CH-11M2                                    : 0.0
VA-SIPS-CH-12C1                                    : 0.0
VA-SIPS-CH-12C2                                    : 0.0
VA-SIPS-CH-12C3                                    : 0.0
VA-SIPS-CH-12C4                                    : 0.0
VA-SIPS-CH-12M1                                    : 0.0
VA-SIPS-CH-12M2                                    : 0.0
VA-SIPS-CH-13C1                                    : 0.0
VA-SIPS-CH-13C2                                    : 0.0
VA-SIPS-CH-13C3                                    : 0.0
VA-SIPS-CH-13C4                                    : 0.0
VA-SIPS-CH-13M1                                    : 0.0
VA-SIPS-CH-13M2                                    : 0.0
VA-SIPS-CH-14C1                                    : 0.0
VA-SIPS-CH-14C2                                    : 0.0
VA-SIPS-CH-14C3                                    : 0.0
VA-SIPS-CH-14C4                                    : 0.0
VA-SIPS-CH-14M1                                    : 0.0
VA-SIPS-CH-14M2                                    : 0.0
VA-SIPS-CH-15C1                                    : 0.0
VA-SIPS-CH-15C2                                    : 0.0
VA-SIPS-CH-15C3                                    : 0.0
VA-SIPS-CH-15C4                                    : 0.0
VA-SIPS-CH-15M1                                    : 0.0
VA-SIPS-CH-15M2                                    : 0.0
VA-SIPS-CH-16C1                                    : 0.0
VA-SIPS-CH-16C2                                    : 0.0
VA-SIPS-CH-16C3                                    : 0.0
VA-SIPS-CH-16C4                                    : 0.0
